Какое слово всегда пишется неправильно?|Неправильно
Сколько месяцев в году имеют 28 дней?|Все
Собака была привязана к десятиметровой веревке, а прошла 200 метров. Как?|Веревка не была привязана
Как спрыгнуть с десятиметровой лестницы и не ушибиться?|Прыгать с нижней ступени
Что можно видеть с закрытыми глазами?|Сон
Что в огне не горит и в воде не тонет?|Лед
Кого австралийцы называют морской осой?|Медузу
Что нужно делать, когда видишь зелёного человечка?|Переходить улицу
Москву раньше называли белокаменной. А какой город называли чёрным?|Чернигов
В каком процессе вода заменила солнце, через 600 лет песок, а еще через 1100 лет механизм?|Измерение времени
При Петре I на гербе орёл держал карты четырёх морей. Каких?|Белое, Каспийское, Азовское, Балтийское
Почему в дикой природе белые медведи не едят пингвинов?|Они живут на разных полюсах
Назовите пять дней, не называя чисел и названий дней|Позавчера, вчера, сегодня, завтра, послезавтра
У тридцати двух воинов один командир. Что это?|Зубы и язык
Двенадцать братьев друг за другом бродят, друг друга не обходят. Что это?|Месяцы
Как правильно говорить: 'не вижу белый желток' или 'не вижу белого желтка'?|Желток обычно желтый
Когда черной кошке лучше всего пробраться в дом?|Когда дверь открыта
Из какой посуды нельзя ничего поесть?|Из пустой
Маленький, серенький на слона похож. Кто это?|Слоненок
Какой рукой лучше размешивать чай?|Той, в которой ложка
На какой вопрос нельзя ответить 'да'?|Ты спишь?
На какой вопрос нельзя ответить 'нет'?|Ты жив?
Чем оканчиваются день и ночь?|Мягким знаком
Что надо сделать, чтобы пять парней остались в одном сапоге?|Каждому снять по сапогу
В каком месяце болтливая Светочка говорит меньше всего?|В феврале
Что принадлежит вам, однако другие им пользуются чаще?|Имя
Какое слово всегда звучит неверно?|Неверно
У человека — одно, у коровы — два, у ястреба – ни одного. Что это?|Буква О
Сидит человек, но вы не можете сесть на его место. Где он сидит?|На ваших коленях
Каких камней в море нет?|Сухих
Какой знак нужно поставить между 4-мя и 5-ю?|Запятую
Какой болезнью на земле никто не болел?|Морской
Что можно приготовить, но нельзя съесть?|Уроки
Что у коровы впереди, а у быка позади?|Хвост
Что не имеет длины, глубины, ширины, высоты, а можно измерить?|Время, температура
Что все люди на земле делают одновременно?|Становятся старше
Как брошенное яйцо пролететь 3 метра и не разбиться?|Бросить его более чем на 3 метра
Где край света?|Там, где кончается тень
Что с земли легко поднимешь, но далеко не закинешь?|Пух
Каким гребнем голову не расчешешь?|Петушиным
Что бросают, когда нуждаются, и поднимают, когда не нуждаются?|Якорь
Вы сидите в самолёте, впереди лошадь, сзади автомобиль. Где вы?|На карусели
Деревянная река, деревянный катерок, над катером деревянный дымок. Что это?|Рубанок
В одной руке килограмм железа, в другой - пуха. Что тяжелее?|Одинаково
Чем бег отличается от ходьбы?|При беге есть фаза полета
Если в 12 ночи идет дождь, можно ли через 72 часа ждать солнца?|Нет, снова будет ночь
Дурачок выбирал 10-рублевую монету вместо 100-рублевой купюры. Почему?|Пока он выбирал монету, ему давали деньги
Что легче: 1 кг ваты или 1 кг железа?|Одинаково
